Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
org.apache.commons.cli.ValueTest.testShortNoArgWithOption();6,2,4,5,7;5;0;0;4;4;0.6666666666666666;1;1;0.5
org.apache.commons.cli.ValueTest.testShortWithArgWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();7,2,3,4,5,3,6,8;8;1;1;7;7;0.875;3;3;0.3333333333333333
org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();7,2,3,4,5,3,6,8;8;1;1;0;7;0.875;0;3;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();8,2,4,5,7,9;6;0;0;5;5;0.5555555555555556;1;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testNullhOption();8,2,3,9;4;0;0;2;3;0.3333333333333333;1;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();12,2,3,4,5,6,7,3,4,5,6,7,3,4,5,6,9,10,3,4,5,6,7,3,4,5,6,9,3,4,3,11,13;33;1;6;14;14;1;16;16;0.5714285714285714
org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();12,2,3,4,3,4,3,4,3,4,3,4,3,4,5,6,7,3,11,13;20;1;6;0;10;0.7142857142857143;2;4;0.14285714285714285
org.apache.commons.cli.CommandLineTest.testGetOptionProperties();12,2,3,4,5,6,7,3,4,5,6,7,3,4,5,6,9,10,3,4,5,6,7,3,4,5,6,9,3,4,3,11,13;33;1;6;14;14;1;16;16;0.5714285714285714
org.apache.commons.cli.CommandLineTest.testGetOptionProperties();12,2,3,4,3,4,3,4,3,4,3,4,3,4,5,6,7,3,11,13;20;1;6;0;10;0.7142857142857143;2;4;0.14285714285714285
org.apache.commons.cli.ParserTestCase.testPropertiesOption2();12,2,3,4,5,6,9,10,3,4,5,6,7,3,4,5,6,9,3,11,13;21;1;3;0;13;0.9285714285714286;2;12;0.42857142857142855
org.apache.commons.cli.HelpFormatterTest.testHeaderStartingWithLineSeparator();14,2,4,5,8,9,10,11,12,15;10;0;0;9;9;0.6428571428571429;1;1;0.2
org.apache.commons.cli.HelpFormatterTest.testIndentedHeaderAndFooter();14,2,4,5,8,9,10,11,12,15;10;0;0;0;9;0.6428571428571429;0;1;0.2
org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();14,2,4,5,8,9,10,11,12,15;10;0;0;0;9;0.6428571428571429;0;1;0.2
org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();20,2,3,4,5,6,7,8,9,10,15,16,17,7,8,9,10,15,16,7,18,21;22;1;2;16;16;0.7272727272727273;9;9;0.14285714285714285
org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();20,2,3,4,5,6,7,8,9,10,15,16,7,18,21;15;1;1;0;14;0.6363636363636364;0;2;0.031746031746031744
org.apache.commons.cli.HelpFormatterTest.testPrintUsage();20,2,3,4,5,6,7,8,9,10,15,16,17,7,8,9,10,15,16,17,7,8,9,10,15,16,7,18,21;29;1;3;0;16;0.7272727272727273;1;10;0.15873015873015872
org.apache.commons.cli.HelpFormatterTest.testPrintSortedUsage();20,2,3,4,5,6,7,8,9,10,15,16,17,7,8,9,10,15,16,17,7,8,9,10,15,16,7,18,21;29;1;3;0;16;0.7272727272727273;0;10;0.15873015873015872
org.apache.commons.cli.HelpFormatterTest.testPrintOptionWithEmptyArgNameUsage();20,2,3,4,5,6,7,8,9,10,15,16,7,18,21;15;1;1;0;14;0.6363636363636364;0;2;0.031746031746031744
org.apache.commons.cli.HelpFormatterTest.testUsageWithLongOptSeparator();20,2,3,4,5,6,7,8,9,10,15,16,17,7,8,9,10,15,16,17,7,8,9,10,15,16,7,18,21;29;1;3;0;16;0.7272727272727273;0;10;0.15873015873015872
org.apache.commons.cli.ApplicationTest.testLs();11,2,3,4,5,9,10,12;8;0;0;7;7;0.5384615384615384;1;1;0.16666666666666666
org.apache.commons.cli.ApplicationTest.testLs();11,2,3,5,9,10,12;7;0;0;1;6;0.46153846153846156;1;1;0.16666666666666666
org.apache.commons.cli.ApplicationTest.testAnt();11,2,3,5,9,10,12;7;0;0;0;6;0.46153846153846156;0;1;0.16666666666666666
org.apache.commons.cli.ApplicationTest.testGroovy();11,2,3,4,5,9,10,12;8;0;0;0;7;0.5384615384615384;0;1;0.16666666666666666
org.apache.commons.cli.ApplicationTest.testGroovy();11,2,3,5,9,10,12;7;0;0;0;6;0.46153846153846156;0;1;0.16666666666666666
