Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
Unnamed Function;(unnamed_function_1);;35;;;;4;1;15;11;4;4;4;4;1;;;3;
File;AbbreviationMap.java;;111;40;70;;;;91;37;54;;;;;;;2;
File;AbbreviationMapTest.java;;281;52;205;;;;234;29;205;;;;;;;0;
File;AbbreviationMapToJavaUtilMapTest.java;;92;33;45;;;;65;20;45;;;;;;;0;
File;AbstractOptionParserFixture.java;;23;14;5;;;;17;13;4;;;;;;;0;
File;AbstractOptionSpec.java;;101;45;41;;;;69;35;34;;;;;;;2;
File;AbstractOptionSpecFixture.java;;27;16;5;;;;16;11;5;;;;;;;0;
File;AbstractOptionSpecOptionsImmutabilityTestCase.java;;19;12;4;;;;12;9;3;;;;;;;0;
File;AbstractOptionSpecValuesImmutabilityTestCase.java;;17;12;5;;;;14;11;3;;;;;;;0;
File;AlternativeLongOptionSpec.java;;27;9;15;;;;13;8;5;;;;;;;1;
File;AlternativeLongOptionSpecOptionsImmutabilityTest.java;;12;7;2;;;;7;5;2;;;;;;;0;
File;AlternativeLongOptionSpecValuesImmutabilityTest.java;;24;13;5;;;;12;7;5;;;;;;;0;
File;AlternativeLongOptionsTest.java;;17;10;7;;;;14;9;5;;;;;;;0;
File;ArgumentAcceptingOptionSpec.java;;146;61;64;;;;101;47;54;;;;;;;2;
File;ArgumentAcceptingOptionSpecDefaultValuesImmutabilityTest.java;;17;10;3;;;;10;7;3;;;;;;;0;
File;ArgumentAcceptingOptionSpecTest.java;;77;38;23;;;;40;22;18;;;;;;;0;
File;ArgumentList.java;;22;10;6;;;;16;10;6;;;;;;;1;
File;ArgumentListHasNoMoreArgsTest.java;;22;13;4;;;;13;9;4;;;;;;;0;
File;ArgumentListTest.java;;36;14;16;;;;27;11;16;;;;;;;0;
File;AvailableIfAnyTest.java;;43;21;18;;;;30;15;15;;;;;;;0;
File;AvailableIfUnlessTest.java;;90;36;45;;;;61;24;37;;;;;;;0;
File;AvailableUnlessAnyTest.java;;43;21;18;;;;30;15;15;;;;;;;0;
File;BuiltinHelpFormatter.java;;214;65;124;;;;149;64;85;;;;;;;2;
File;BuiltinHelpFormatterTest.java;;24;17;12;;;;17;14;3;;;;;;;0;
File;Classes.java;;27;10;13;;;;20;8;12;;;;;;;0;
File;ClassesUtilityClassTest.java;;7;4;1;;;;5;4;1;;;;;;;0;
File;ClusterVersusLongOptionTest.java;;48;22;24;;;;35;16;19;;;;;;;0;
File;ClusterVersusLongOptionWithOptionalArgumentTest.java;;80;34;43;;;;59;24;35;;;;;;;0;
File;ClusterVersusLongOptionWithRequiredArgumentTest.java;;80;34;43;;;;59;24;35;;;;;;;0;
File;ClusterWhereManyOptionsAcceptArgumentsTest.java;;115;44;69;;;;88;31;57;;;;;;;0;
File;Columns.java;;56;27;32;;;;51;29;22;;;;;;;1;
File;ConfigurableOptionParserHelpTest.java;;374;76;269;;;;153;47;106;;;;;;;0;
