Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();4;0;0;3;0.5;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();4;0;0;3;0.5;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();4;0;0;0;0;0;0
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();4.5;0;0;6;1;2;1
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();4.5;0;0;0;0;0;0
joptsimple.util.DateConverterTest.rejectsNullDateFormatter();4;0;0;3;0.6;1;0.5
joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();4;0;0;2;0.4;1;0.5
joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();4;0;0;0;0;0;0
joptsimple.JVMSystemPropertiesArgumentParsingTest.parsingJVMSystemPropertiesArguments();7;0;0;6;0.75;1;0.5
joptsimple.ToStringTest.objectsAndStringRepresentations();7;0;0;0;0;0;0
joptsimple.OptionSetAsMapTest.gives();23;1;1;7;0.875;1;0.1111111111111111
joptsimple.HandlingDefaultValuesForOptionArgumentsTest.optionalArgOptionWithDefaultGivesDefaultIfArgNotSpecifiedOnCommandLine();6;0;0;5;0.4166666666666667;1;0.16666666666666666
joptsimple.AvailableIfUnlessTest.configureParser();7;1;1;6;1;3;0.6
joptsimple.AvailableIfUnlessTest.rejectsOptionNotAlreadyConfigured();7;1;1;0;0;0;0
joptsimple.AvailableUnlessAnyTest.configureParser();7;1;1;6;1;3;0.6
joptsimple.RequiredIfAnyTest.configureParser();9;1;2;6;1;4;0.8
joptsimple.RequiredIfTest.configureParser();7;1;1;0;0;0;0
joptsimple.RequiredIfTest.rejectsOptionNotAlreadyConfigured();7;1;1;0;0;0;0
