Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();6,2,3,7;4;0;0;3;3;0.5;1;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();6,2,3,7;4;0;0;3;3;0.5;1;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();6,2,3,7;4;0;0;0;3;0.5;0;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();6,2,4,5,7;5;0;0;4;4;0.6666666666666666;1;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();6,2,3,7;4;0;0;2;3;0.5;1;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();6,2,3,7;4;0;0;0;3;0.5;0;1;0.5
joptsimple.util.DateConverterTest.rejectsNullDateFormatter();7,3,4,8;4;0;0;3;3;0.6;1;1;0.5
joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();7,3,5,8;4;0;0;2;3;0.6;1;1;0.5
joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();7,3,5,8;4;0;0;0;3;0.6;0;1;0.5
joptsimple.JVMSystemPropertiesArgumentParsingTest.parsingJVMSystemPropertiesArguments();8,2,3,5,6,7,9;7;0;0;6;6;0.75;1;1;0.5
joptsimple.ToStringTest.objectsAndStringRepresentations();8,2,3,5,6,7,9;7;0;0;0;6;0.75;0;1;0.5
joptsimple.OptionSetAsMapTest.gives();7,2,3,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,6,8;23;1;1;7;7;0.875;1;1;0.1111111111111111
joptsimple.HandlingDefaultValuesForOptionArgumentsTest.optionalArgOptionWithDefaultGivesDefaultIfArgNotSpecifiedOnCommandLine();11,2,3,4,5,12;6;0;0;5;5;0.4166666666666667;1;1;0.16666666666666666
joptsimple.AvailableIfUnlessTest.configureParser();6,2,3,4,3,5,7;7;1;1;6;6;1;3;3;0.6
joptsimple.AvailableIfUnlessTest.rejectsOptionNotAlreadyConfigured();6,2,3,4,3,5,7;7;1;1;0;6;1;0;3;0.6
joptsimple.AvailableUnlessAnyTest.configureParser();6,2,3,4,3,5,7;7;1;1;6;6;1;3;3;0.6
joptsimple.RequiredIfAnyTest.configureParser();6,2,3,4,3,4,3,5,7;9;1;2;6;6;1;4;4;0.8
joptsimple.RequiredIfTest.configureParser();6,2,3,4,3,5,7;7;1;1;0;6;1;0;3;0.6
joptsimple.RequiredIfTest.rejectsOptionNotAlreadyConfigured();6,2,3,4,3,5,7;7;1;1;0;6;1;0;3;0.6
