Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
File;AbstractCircuitBreaker.java;61;35;14;22;35;23;12;;;;;;;;;;;
File;AbstractConcurrentInitializerTest.java;53;25;24;28;41;24;17;;;;;;;;;;;
File;AbstractExceptionContextTest.java;129;45;82;93;104;36;68;;;;;;;;;;;
File;AbstractExceptionTest.java;10;7;5;6;8;7;1;;;;;;;;;;;
File;AggregateTranslator.java;21;11;6;9;15;10;5;;;;;;;;;;;
File;Ambig.java;6;4;0;1;3;3;0;;;;;;;;;;;
File;Annotated.java;9;8;0;5;6;6;0;;;;;;;;;;;
File;AnnotationUtils.java;216;33;136;88;149;38;111;;;;;;;;;;;
File;AnnotationUtilsTest.java;477;400;67;131;155;109;46;;;;;;;;;;;
File;AnotherChild.java;3;2;0;1;2;2;0;;;;;;;;;;;
File;AnotherParent.java;3;2;0;1;2;2;0;;;;;;;;;;;
File;ArchUtils.java;59;25;26;31;44;24;20;;;;;;;;;;;
File;ArchUtilsTest.java;111;31;80;89;98;27;71;;;;;;;;;;;
File;ArrayUtils.java;3286;682;2010;1556;2519;753;1766;;;;;;;;;;;
File;ArrayUtilsAddTest.java;560;117;460;488;511;92;419;;;;;;;;;;;
File;ArrayUtilsInsertTest.java;181;54;146;152;162;45;117;;;;;;;;;;;
File;ArrayUtilsRemoveMultipleTest.java;952;159;756;782;838;101;737;;;;;;;;;;;
File;ArrayUtilsRemoveTest.java;494;95;380;405;434;64;370;;;;;;;;;;;
File;ArrayUtilsTest.java;3862;1129;2872;2742;3078;815;2263;;;;;;;;;;;
File;AtomicInitializer.java;17;8;7;8;12;7;5;;;;;;;;;;;
File;AtomicInitializerTest.java;12;4;5;3;6;4;2;;;;;;;;;;;
File;AtomicSafeInitializer.java;19;11;6;8;12;8;4;;;;;;;;;;;
File;AtomicSafeInitializerTest.java;32;20;7;13;19;13;6;;;;;;;;;;;
File;BackgroundInitializer.java;93;32;38;38;61;28;33;;;;;;;;;;;
File;BackgroundInitializerTest.java;192;85;106;108;138;67;71;;;;;;;;;;;
File;Bar.java;5;4;1;3;4;4;0;;;;;;;;;;;
File;BasicThreadFactory.java;109;41;48;58;81;37;44;;;;;;;;;;;
File;BasicThreadFactoryTest.java;193;101;123;129;150;80;70;;;;;;;;;;;
File;BitField.java;60;22;19;22;41;22;19;;;;;;;;;;;
File;BitFieldTest.java;169;40;108;122;147;34;113;;;;;;;;;;;
File;BooleanUtils.java;367;63;219;129;242;66;176;;;;;;;;;;;
File;BooleanUtilsTest.java;831;167;602;302;375;95;280;;;;;;;;;;;
File;Builder.java;5;4;0;2;3;3;0;;;;;;;;;;;
File;CallableBackgroundInitializer.java;23;11;7;12;17;10;7;;;;;;;;;;;
File;CallableBackgroundInitializerTest.java;50;29;21;26;34;22;12;;;;;;;;;;;
File;CharEncoding.java;23;13;12;12;16;11;5;;;;;;;;;;;
File;CharEncodingTest.java;49;19;23;29;36;13;23;;;;;;;;;;;
File;CharRange.java;152;44;76;63;102;37;65;;;;;;;;;;;
File;CharRangeTest.java;306;103;241;251;270;86;184;;;;;;;;;;;
File;CharSequenceTranslator.java;60;20;34;32;46;20;26;;;;;;;;;;;
File;CharSequenceUtils.java;119;29;72;55;91;33;58;;;;;;;;;;;
File;CharSequenceUtilsTest.java;143;62;80;74;94;43;51;;;;;;;;;;;
File;CharSet.java;99;33;57;49;74;31;43;;;;;;;;;;;
File;CharSetTest.java;377;72;309;330;346;57;289;;;;;;;;;;;
File;CharSetUtils.java;99;24;60;43;76;29;47;;;;;;;;;;;
File;CharSetUtilsTest.java;187;33;143;152;164;22;142;;;;;;;;;;;
File;CharUtils.java;120;33;56;45;80;32;48;;;;;;;;;;;
File;CharUtilsPerfRun.java;91;24;61;53;71;30;41;;;;;;;;;;;
File;CharUtilsTest.java;291;76;184;195;240;64;176;;;;;;;;;;;
File;Charsets.java;14;7;3;6;10;7;3;;;;;;;;;;;
File;CharsetsTestCase.java;23;11;8;12;16;8;8;;;;;;;;;;;
File;CircuitBreaker.java;9;8;0;7;8;8;0;;;;;;;;;;;
File;CircuitBreakingException.java;16;7;5;6;11;7;4;;;;;;;;;;;
File;CircuitBreakingExceptionTest.java;59;28;29;32;40;21;19;;;;;;;;;;;
File;ClassLoaderUtils.java;14;6;4;6;10;6;4;;;;;;;;;;;
File;ClassLoaderUtilsTest.java;25;15;8;11;16;12;4;;;;;;;;;;;
File;ClassPathUtils.java;26;7;13;14;20;7;13;;;;;;;;;;;
File;ClassPathUtilsTest.java;82;45;32;35;49;32;17;;;;;;;;;;;
File;ClassUtils.java;643;134;394;275;444;142;302;;;;;;;;;;;
File;ClassUtilsTest.java;1157;245;871;864;958;169;789;;;;;;;;;;;
File;CloneFailedException.java;13;6;4;5;9;6;3;;;;;;;;;;;
File;CloneFailedExceptionTest.java;52;25;26;29;36;19;17;;;;;;;;;;;
File;CodePointTranslator.java;13;10;3;7;9;8;1;;;;;;;;;;;
File;CompareToBuilder.java;423;60;258;192;310;56;254;;;;;;;;;;;
File;CompareToBuilderTest.java;988;287;762;790;882;254;628;;;;;;;;;;;
File;CompositeFormat.java;33;19;8;15;22;15;7;;;;;;;;;;;
File;CompositeFormatTest.java;50;23;27;27;34;24;10;;;;;;;;;;;
File;Computable.java;4;3;0;2;3;3;0;;;;;;;;;;;
File;ConcurrentException.java;13;6;4;5;9;6;3;;;;;;;;;;;
File;ConcurrentInitializer.java;4;3;0;2;3;3;0;;;;;;;;;;;
File;ConcurrentRuntimeException.java;13;6;4;5;9;6;3;;;;;;;;;;;
File;ConcurrentUtils.java;117;42;47;40;72;32;40;;;;;;;;;;;
