[74,2]
[2,3]
[3,4]
[4,5]
[5,6]
[6,7]
[7,8]
[8,9]
[9,10]
[10,11]
[11,12]
[12,13]
[13,14]
[14,15]
[17,15]
[15,16]
[16,17]
[15,18]
[20,18]
[18,19]
[19,20]
[18,21]
[23,21]
[21,22]
[22,23]
[21,24]
[26,24]
[24,25]
[25,26]
[24,27]
[27,28]
[31,28]
[28,29]
[29,30]
[30,31]
[28,32]
[34,32]
[32,33]
[33,34]
[32,35]
[35,36]
[38,36]
[36,37]
[37,38]
[36,61]
[27,39]
[39,40]
[40,41]
[41,42]
[42,43]
[42,44]
[43,44]
[51,44]
[44,45]
[45,46]
[46,47]
[47,48]
[48,49]
[48,50]
[49,50]
[50,51]
[44,52]
[40,53]
[52,53]
[55,53]
[53,54]
[54,55]
[53,56]
[56,57]
[60,57]
[57,58]
[58,59]
[59,60]
[35,61]
[57,61]
[61,62]
[62,63]
[61,64]
[63,64]
[64,65]
[65,66]
[64,67]
[66,67]
[67,68]
[68,69]
[67,70]
[69,70]
[70,71]
[71,72]
[70,73]
[72,73]
[73,75]
