Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
Package;(Unnamed_Package);272;111;170;159;210;95;115;;;;;;;;;;;
File;Abs.java;9;6;1;4;6;5;1;;;;;;;;;;;
File;AbstractConvergenceChecker.java;21;13;4;8;12;8;4;;;;;;;;;;;
File;AbstractConvexHullGenerator2D.java;43;20;17;22;30;18;12;;;;;;;;;;;
File;AbstractCurveFitter.java;57;25;26;32;45;29;16;;;;;;;;;;;
File;AbstractEmbeddedRungeKuttaFieldIntegratorTest.java;486;244;310;281;338;212;126;;;;;;;;;;;
File;AbstractEvaluation.java;49;31;16;26;35;25;10;;;;;;;;;;;
File;AbstractFieldIntegrator.java;249;110;111;118;176;94;82;;;;;;;;;;;
File;AbstractFieldMatrix.java;821;302;442;431;610;252;358;;;;;;;;;;;
File;AbstractFieldStepInterpolator.java;66;44;16;29;38;25;13;;;;;;;;;;;
File;AbstractIntegerDistribution.java;116;40;64;52;77;37;40;;;;;;;;;;;
File;AbstractIntegerDistributionTest.java;93;33;49;47;65;26;39;;;;;;;;;;;
File;AbstractIntegrator.java;257;107;122;124;181;87;94;;;;;;;;;;;
File;AbstractLeastSquaresOptimizerAbstractTest.java;461;183;320;206;252;141;111;;;;;;;;;;;
File;AbstractListChromosome.java;31;16;8;15;22;15;7;;;;;;;;;;;
File;AbstractMultipleLinearRegression.java;163;60;79;81;121;58;63;;;;;;;;;;;
File;AbstractMultivariateRealDistribution.java;29;15;9;14;20;12;8;;;;;;;;;;;
File;AbstractOptimizationProblem.java;45;28;10;17;26;18;8;;;;;;;;;;;
File;AbstractParameterizable.java;35;13;12;12;24;12;12;;;;;;;;;;;
File;AbstractPolynomialSolver.java;28;16;6;9;15;9;6;;;;;;;;;;;
File;AbstractRealDistribution.java;134;46;73;56;84;40;44;;;;;;;;;;;
File;AbstractRealDistributionTest.java;172;42;125;75;112;57;55;;;;;;;;;;;
File;AbstractRealMatrix.java;774;287;423;419;580;248;332;;;;;;;;;;;
File;AbstractRegion.java;280;95;158;121;184;81;103;;;;;;;;;;;
File;AbstractRungeKuttaFieldIntegratorTest.java;543;265;328;310;377;226;151;;;;;;;;;;;
File;AbstractSimplex.java;157;50;80;90;130;56;74;;;;;;;;;;;
File;AbstractStepInterpolator.java;299;83;178;190;233;65;168;;;;;;;;;;;
File;AbstractStorelessUnivariateStatistic.java;68;33;24;29;43;22;21;;;;;;;;;;;
File;AbstractSubHyperplane.java;89;47;37;33;51;30;21;;;;;;;;;;;
File;AbstractUnivariateDifferentiableSolver.java;28;17;6;11;16;10;6;;;;;;;;;;;
File;AbstractUnivariateSolver.java;18;11;3;5;9;6;3;;;;;;;;;;;
File;AbstractUnivariateStatistic.java;51;23;17;22;33;17;16;;;;;;;;;;;
File;Acos.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Acosh.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Action.java;7;6;0;2;2;2;0;;;;;;;;;;;
File;AdamsBashforthFieldIntegrator.java;132;64;84;75;88;47;41;;;;;;;;;;;
File;AdamsBashforthFieldIntegratorTest.java;54;35;10;16;25;17;8;;;;;;;;;;;
File;AdamsBashforthIntegrator.java;133;59;89;91;106;48;58;;;;;;;;;;;
File;AdamsBashforthIntegratorTest.java;229;121;119;127;160;100;60;;;;;;;;;;;
File;AdamsFieldIntegrator.java;54;39;9;21;27;20;7;;;;;;;;;;;
File;AdamsFieldIntegratorAbstractTest.java;196;120;94;123;148;97;51;;;;;;;;;;;
File;AdamsFieldStepInterpolator.java;88;52;37;44;53;31;22;;;;;;;;;;;
File;AdamsIntegrator.java;47;32;9;17;23;16;7;;;;;;;;;;;
File;AdamsMoultonFieldIntegrator.java;160;75;95;89;108;57;51;;;;;;;;;;;
File;AdamsMoultonFieldIntegratorTest.java;54;35;10;16;25;17;8;;;;;;;;;;;
File;AdamsMoultonIntegrator.java;160;69;100;104;125;57;68;;;;;;;;;;;
File;AdamsMoultonIntegratorTest.java;220;122;103;116;148;91;57;;;;;;;;;;;
File;AdamsNordsieckFieldTransformer.java;126;65;70;90;112;63;49;;;;;;;;;;;
File;AdamsNordsieckTransformer.java;125;64;70;93;116;67;49;;;;;;;;;;;
File;AdamsNordsieckTransformerTest.java;71;38;37;40;51;32;19;;;;;;;;;;;
File;AdaptiveStepsizeFieldIntegrator.java;157;67;82;89;114;51;63;;;;;;;;;;;
File;AdaptiveStepsizeIntegrator.java;161;62;81;85;113;42;71;;;;;;;;;;;
File;Add.java;8;5;1;3;5;4;1;;;;;;;;;;;
File;AggregateSummaryStatistics.java;172;62;83;64;109;49;60;;;;;;;;;;;
File;AggregateSummaryStatisticsTest.java;205;82;138;166;199;93;106;;;;;;;;;;;
File;AgrestiCoullInterval.java;20;14;12;12;14;12;2;;;;;;;;;;;
File;AgrestiCoullIntervalTest.java;18;12;4;10;13;10;3;;;;;;;;;;;
File;AkimaSplineInterpolator.java;116;55;74;70;85;47;38;;;;;;;;;;;
File;AkimaSplineInterpolatorTest.java;172;71;87;90;107;68;39;;;;;;;;;;;
File;AklToussaintHeuristic.java;75;23;44;36;59;26;33;;;;;;;;;;;
File;AklToussaintHeuristicTest.java;16;11;2;8;11;9;2;;;;;;;;;;;
File;AllowedSolution.java;8;7;0;2;2;2;0;;;;;;;;;;;
File;AlternativeHypothesis.java;6;5;0;1;2;2;0;;;;;;;;;;;
File;AnyMatrix.java;6;5;0;4;5;5;0;;;;;;;;;;;
File;Arc.java;55;22;24;29;41;21;20;;;;;;;;;;;
File;ArcTest.java;57;23;30;40;47;19;28;;;;;;;;;;;
File;ArcsSet.java;502;138;308;225;342;130;212;;;;;;;;;;;
File;ArcsSetTest.java;510;176;390;374;416;153;263;;;;;;;;;;;
File;ArgUtils.java;21;7;9;7;16;9;7;;;;;;;;;;;
File;ArgUtilsTest.java;43;15;26;16;20;14;6;;;;;;;;;;;
File;Array2DRowFieldMatrix.java;377;157;192;220;298;131;167;;;;;;;;;;;
File;Array2DRowRealMatrix.java;395;167;205;230;312;138;174;;;;;;;;;;;
File;Array2DRowRealMatrixTest.java;970;296;694;557;706;256;450;;;;;;;;;;;
File;ArrayFieldVector.java;618;198;320;313;449;155;294;;;;;;;;;;;
File;ArrayFieldVectorTest.java;974;301;664;502;650;284;366;;;;;;;;;;;
File;ArrayRealVector.java;636;220;339;328;477;189;288;;;;;;;;;;;
File;ArrayRealVectorTest.java;120;44;95;95;103;39;64;;;;;;;;;;;
File;Asin.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Asinh.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Atan.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Atan2.java;9;6;1;4;6;5;1;;;;;;;;;;;
File;Atanh.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;BOBYQAOptimizer.java;1626;380;1240;1194;1497;476;1021;;;;;;;;;;;
File;BOBYQAOptimizerTest.java;519;243;262;248;343;198;145;;;;;;;;;;;
File;BSPTree.java;353;70;238;190;253;65;188;;;;;;;;;;;
File;BSPTreeVisitor.java;15;13;0;6;7;7;0;;;;;;;;;;;
File;BaseAbstractUnivariateIntegrator.java;116;61;41;55;73;39;34;;;;;;;;;;;
File;BaseAbstractUnivariateSolver.java;140;77;42;53;77;43;34;;;;;;;;;;;
File;BaseMultiStartMultivariateOptimizer.java;98;35;55;58;77;32;45;;;;;;;;;;;
File;BaseMultivariateOptimizer.java;72;24;34;33;54;24;30;;;;;;;;;;;
File;BaseOptimizer.java;84;37;27;32;53;26;27;;;;;;;;;;;
File;BaseRuleFactory.java;58;28;30;32;42;24;18;;;;;;;;;;;
File;BaseRuleFactoryTest.java;67;38;27;39;52;34;18;;;;;;;;;;;
File;BaseSecantSolver.java;149;47;89;64;87;27;60;;;;;;;;;;;
File;BaseSecantSolverAbstractTest.java;175;90;107;105;130;72;58;;;;;;;;;;;
File;BaseUnivariateSolver.java;16;15;0;12;13;13;0;;;;;;;;;;;
File;BesselJ.java;377;88;279;252;316;88;228;;;;;;;;;;;
File;BesselJTest.java;730;721;711;18;23;18;5;;;;;;;;;;;
File;BevingtonProblem.java;54;21;32;34;43;25;18;;;;;;;;;;;
File;BiDiagonalTransformer.java;232;68;156;174;231;97;134;;;;;;;;;;;
File;BiDiagonalTransformerTest.java;159;76;107;83;101;54;47;;;;;;;;;;;
