Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.ode.nonstiff.AbstractEmbeddedRungeKuttaFieldIntegratorTest.doTestEvents(Field<T>,double,String);9;1;2;6;1;4;0.8
org.apache.commons.math4.stat.regression.OLSMultipleLinearRegressionTest.testLongly();21;1;6.5;9;1;4;0.8
org.apache.commons.math4.stat.regression.OLSMultipleLinearRegressionTest.testSwissFertility();17;1;4.5;0;0;0;0
org.apache.commons.math4.stat.regression.OLSMultipleLinearRegressionTest.testWampler1();20;1;6;0;0;0;0
org.apache.commons.math4.analysis.interpolation.BicubicInterpolatorTest.testPreconditions();36;1;1;31;0.9393939393939394;15;0.625
org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testPlane();3756;1;19;0;0;0;0
org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testParaboloid();3756;1;19;0;0;0;0
org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceInf();5;0;0;4;1;1;1
org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceSq();5;0;0;4;1;1;1
org.apache.commons.math4.genetics.ChromosomeTest.testFindSameChromosome();4.5;0;0;5;1;2;1
org.apache.commons.math4.random.CorrelatedRandomVectorGeneratorTest;8;1;1;7;0.7777777777777778;2;0.25
org.apache.commons.math4.stat.correlation.CovarianceTest.testConstant();27;1;4;14;0.7777777777777778;6;0.6666666666666666
org.apache.commons.math4.stat.correlation.CovarianceTest.testInsufficientData();8;0;0;2;0.1111111111111111;1;0.1111111111111111
org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignField();4;0;0;3;0.6;1;0.5
org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignDouble();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testConvergenceOnFunctionAccuracy();228.4;1;42.6;26;0.6046511627906977;10;0.39999999999999997
org.apache.commons.math4.dfp.DfpTest.testLog10();5.25;0;0;11;1;4;1
org.apache.commons.math4.dfp.DfpTest.testIntValue();9;1;0.5;16;1;6;0.6666666666666667
org.apache.commons.math4.dfp.DfpTest.testIsZero();5;0;0;7;1;2;1
org.apache.commons.math4.ExtendedFieldElementAbstractTest.testLinearCombinationFaFa();26;1;10;7;0.7777777777777778;4;0.6666666666666666
