Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
File;AbstractID3v2FrameData.java;;48;19;25;;;;36;17;19;;;;;;;1;
File;AbstractID3v2Tag.java;;1101;441;648;;;;822;363;459;;;;;;;4;
File;BaseException.java;;33;9;19;;;;24;9;15;;;;;;;2;
File;BaseExceptionTest.java;;31;21;17;;;;24;18;6;;;;;;;0;
File;BufferTools.java;;244;64;146;;;;202;70;132;;;;;;;4;
File;BufferToolsTest.java;;522;244;317;;;;370;179;191;;;;;;;1;
File;ByteBufferUtils.java;;15;9;8;;;;13;9;4;;;;;;;0;
File;EncodedText.java;;228;85;139;;;;164;72;92;;;;;;;3;
File;EncodedTextTest.java;;271;89;185;;;;224;68;156;;;;;;;1;
File;FileWrapper.java;;44;20;15;;;;39;20;19;;;;;;;1;
File;FileWrapperTest.java;;62;33;28;;;;45;25;20;;;;;;;0;
File;ID3Wrapper.java;;264;42;140;;;;165;42;123;;;;;;;1;
File;ID3WrapperTest.java;;1140;662;524;;;;749;469;280;;;;;;;0;
File;ID3v1.java;;20;19;0;;;;19;19;0;;;;;;;0;
File;ID3v1Genres.java;;164;153;153;;;;12;6;6;;;;;;;3;
File;ID3v1GenresTest.java;;25;14;5;;;;14;9;5;;;;;;;0;
File;ID3v1Tag.java;;253;84;159;;;;182;66;116;;;;;;;3;
File;ID3v1TagTest.java;;149;51;111;;;;126;40;86;;;;;;;0;
File;ID3v2.java;;74;73;0;;;;73;73;0;;;;;;;0;
File;ID3v22Tag.java;;24;10;9;;;;16;8;8;;;;;;;0;
File;ID3v22TagTest.java;;138;84;85;;;;107;69;38;;;;;;;0;
File;ID3v23Tag.java;;23;9;10;;;;16;7;9;;;;;;;0;
File;ID3v24Frame.java;;22;10;6;;;;14;7;7;;;;;;;1;
File;ID3v24Tag.java;;61;24;30;;;;42;18;24;;;;;;;1;
File;ID3v24TagTest.java;;29;20;16;;;;24;18;6;;;;;;;0;
File;ID3v2ChapterFrameData.java;;173;48;106;;;;138;43;95;;;;;;;2;
File;ID3v2ChapterFrameDataTest.java;;173;107;93;;;;109;72;37;;;;;;;0;
File;ID3v2ChapterTOCFrameData.java;;192;54;113;;;;151;50;101;;;;;;;2;
File;ID3v2ChapterTOCFrameDataTest.java;;174;109;94;;;;111;75;36;;;;;;;0;
File;ID3v2CommentFrameData.java;;137;37;89;;;;106;32;74;;;;;;;2;
File;ID3v2CommentFrameDataTest.java;;204;127;112;;;;144;98;46;;;;;;;0;
File;ID3v2Frame.java;;173;64;105;;;;129;63;66;;;;;;;2;
File;ID3v2FrameSet.java;;56;20;30;;;;44;17;27;;;;;;;2;
File;ID3v2FrameSetTest.java;;13;7;4;;;;7;6;1;;;;;;;0;
File;ID3v2FrameTest.java;;93;47;62;;;;76;41;35;;;;;;;1;
File;ID3v2ObseleteFrame.java;;31;16;12;;;;20;12;8;;;;;;;0;
File;ID3v2ObseleteFrameTest.java;;32;19;20;;;;27;17;10;;;;;;;0;
File;ID3v2ObseletePictureFrameData.java;;33;10;17;;;;23;9;14;;;;;;;1;
File;ID3v2ObseletePictureFrameDataTest.java;;34;21;19;;;;27;18;9;;;;;;;0;
File;ID3v2PictureFrameData.java;;145;39;92;;;;113;34;79;;;;;;;2;
File;ID3v2PictureFrameDataTest.java;;165;108;85;;;;116;84;32;;;;;;;0;
File;ID3v2PopmFrameData.java;;91;34;52;;;;68;28;40;;;;;;;2;
File;ID3v2PopmFrameDataTest.java;;129;80;65;;;;90;62;28;;;;;;;1;
File;ID3v2TagFactory.java;;37;10;22;;;;25;10;15;;;;;;;1;
File;ID3v2TagTest.java;;537;217;385;;;;438;179;259;;;;;;;1;
File;ID3v2TextFrameData.java;;66;24;35;;;;49;19;30;;;;;;;2;
File;ID3v2TextFrameDataTest.java;;91;61;44;;;;64;48;16;;;;;;;0;
File;ID3v2UrlFrameData.java;;104;30;64;;;;80;25;55;;;;;;;2;
File;ID3v2UrlFrameDataTest.java;;125;83;63;;;;88;65;23;;;;;;;0;
File;ID3v2WWWFrameData.java;;47;17;20;;;;31;14;17;;;;;;;2;
File;ID3v2WWWFrameDataTest.java;;11;7;3;;;;8;6;2;;;;;;;0;
File;InvalidDataException.java;;13;6;4;;;;9;6;3;;;;;;;0;
File;InvalidDataExceptionTest.java;;25;15;10;;;;18;12;6;;;;;;;0;
File;Maven__junit_junit_4_12.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__nl_jqno_equalsverifier_equalsverifier_2_3_2.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_hamcrest_hamcrest_core_1_3.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Mp3File.java;;427;120;254;;;;336;120;216;;;;;;;6;
File;Mp3FileTest.java;;421;146;260;;;;320;121;199;;;;;;;1;
File;MpegFrame.java;;527;88;427;;;;372;89;283;;;;;;;3;
File;MpegFrameTest.java;;163;68;109;;;;123;56;67;;;;;;;1;
File;MutableInteger.java;;36;14;18;;;;27;12;15;;;;;;;1;
File;MutableIntegerTest.java;;62;39;25;;;;41;29;12;;;;;;;0;
File;NoSuchTagException.java;;13;6;4;;;;9;6;3;;;;;;;0;
File;NotSupportedException.java;;13;6;4;;;;9;6;3;;;;;;;0;
File;NotSupportedExceptionTest.java;;25;15;10;;;;18;12;6;;;;;;;0;
File;TestHelper.java;;59;25;29;;;;54;28;26;;;;;;;2;
File;UnsupportedTagException.java;;13;6;4;;;;9;6;3;;;;;;;0;
File;UnsupportedTagExceptionTest.java;;25;15;10;;;;18;12;6;;;;;;;0;
File;Version.java;;19;10;6;;;;13;9;4;;;;;;;0;
File;VersionTest.java;;17;10;3;;;;10;7;3;;;;;;;0;
Package;com;;0;0;0;;;;0;0;0;;;;;;;0;
Package;com.mpatric;;0;0;0;;;;0;0;0;;;;;;;0;
Package;com.mpatric.mp3agic;;9909;4274;5778;;;;7190;3359;3831;;;;;;;6;
Public Abstract Class;com.mpatric.mp3agic.AbstractID3v2FrameData;;47;18;25;;;;35;16;19;;;;;;;1;
Public Constructor;com.mpatric.mp3agic.AbstractID3v2FrameData.AbstractID3v2FrameData(boolean);24;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2FrameData.equals(Object);9;12;2;10;2;5;1;11;2;9;5;5;5;5;4;4;1;4
Protected Abstract Method;com.mpatric.mp3agic.AbstractID3v2FrameData.getLength();0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2FrameData.hashCode();7;6;3;4;1;1;0;5;3;2;2;2;2;1;0;0;0;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2FrameData.packAndUnsynchroniseFrameData();2;7;2;4;4;2;0;5;2;3;2;2;3;1;1;0;1;0
Protected Abstract Method;com.mpatric.mp3agic.AbstractID3v2FrameData.packFrameData();1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2FrameData.synchroniseAndUnpackFrameData(byte[]);10;8;2;5;3;2;0;5;2;3;2;2;3;1;1;0;1;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2FrameData.toBytes();56;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Protected Abstract Method;com.mpatric.mp3agic.AbstractID3v2FrameData.unpackFrameData(byte[]);1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Public Abstract Class;com.mpatric.mp3agic.AbstractID3v2Tag;;1098;438;648;;;;819;360;459;;;;;;;4;
Public Constructor;com.mpatric.mp3agic.AbstractID3v2Tag.AbstractID3v2Tag();3;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Constructor;com.mpatric.mp3agic.AbstractID3v2Tag.AbstractID3v2Tag(byte[]);4;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Constructor;com.mpatric.mp3agic.AbstractID3v2Tag.AbstractID3v2Tag(byte[],boolean);4;5;1;3;4;1;0;4;1;3;1;1;1;1;0;0;0;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.addFrame(ID3v2Frame,boolean);39;13;2;10;6;3;0;10;2;8;3;3;3;1;2;0;1;0
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.calculateDataLength();8;12;2;8;4;18;1;14;4;10;6;6;6;1;1;0;2;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.clearAlbumImage();3;3;1;1;1;1;0;2;1;1;2;2;2;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.clearFrameSet(String);3;5;1;2;2;2;0;3;1;2;2;2;2;1;0;0;1;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.createFrame(String,byte[]);37;4;1;2;3;2;0;4;1;3;2;2;2;1;1;0;1;0
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.createFrame(byte[],int);4;4;1;2;3;2;0;4;1;3;2;2;2;1;1;0;1;0
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.createPictureFrameData(String);5;15;4;10;7;4;1;11;4;7;4;4;4;3;3;2;3;2
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.equals(Object);10;21;2;19;2;22;1;35;2;33;18;18;18;18;23;23;2;23
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractChapterFrameData(String);3;18;5;12;7;4;1;13;6;7;4;4;4;1;2;0;3;0
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractChapterTOCFrameData(String);3;18;5;12;7;4;1;13;6;7;4;4;4;1;2;0;3;0
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractCommentFrameData(String,boolean);6;18;3;11;9;6;1;13;4;9;6;6;7;6;11;11;4;11
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractGenreDescription(String);4;13;3;8;6;4;1;9;3;6;4;4;4;4;4;4;3;4
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractGenreNumber(String);3;12;3;7;7;4;1;8;3;5;4;4;4;4;3;3;3;3
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractLyricsFrameData(String);3;14;3;8;6;4;1;10;4;6;4;4;4;4;4;4;3;4
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractPopmFrameData(String);3;13;4;8;6;3;0;9;4;5;3;3;3;3;2;2;2;2
Protected Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractTextFrameData(String);22;13;4;8;6;3;0;9;4;5;3;3;3;3;2;2;2;2
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractUrlFrameData(String);3;13;4;8;6;3;0;9;4;5;3;3;3;3;2;2;2;2
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.extractWWWFrameData(String);10;13;4;8;6;3;0;9;4;5;3;3;3;3;2;2;2;2
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAlbum();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAlbumArtist();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAlbumImage();3;5;2;3;3;2;0;5;2;3;3;3;3;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAlbumImageMimeType();3;5;2;3;3;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getArtist();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getArtistUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAudioSourceUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getAudiofileUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getBPM();4;12;3;8;8;3;0;8;3;5;4;4;5;3;2;2;1;2
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getChapterTOC();2;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getChapters();2;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getComment();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getCommercialUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getComposer();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getCopyright();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getCopyrightUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getDataLength();4;6;1;3;3;2;0;4;1;3;2;2;2;1;0;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getDate();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getEncoder();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getFrameSets();4;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getGenre();3;7;2;4;5;2;0;5;2;3;3;3;4;1;1;0;1;0
Private Method;com.mpatric.mp3agic.AbstractID3v2Tag.getGenre(String);3;11;2;7;5;3;0;7;2;5;3;3;4;3;3;3;2;3
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getGenreDescription();5;19;5;13;7;5;1;13;5;8;6;6;9;5;5;5;3;5
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getGrouping();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getItunesComment();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getKey();4;7;2;4;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getLength();2;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getLyrics();3;10;2;7;4;3;0;8;2;6;3;3;3;3;2;2;1;2
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getObseleteFormat();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getOriginalArtist();3;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getPadding();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getPartOfSet();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getPaymentUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getPublisher();4;5;2;3;4;2;0;5;2;3;3;3;4;1;1;0;1;0
Public Method;com.mpatric.mp3agic.AbstractID3v2Tag.getPublisherUrl();1;5;2;3;3;2;0;5;2;3;2;2;2;1;1;0;1;0
