Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionTest.testExpression1();22;1;3;15;0.35714285714285715;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35.333333333333336;1;4.333333333333333;3;0.07142857142857142;0;0
net.objecthunter.exp4j.ExpressionTest.testClearVariables();20;1;1.5;6;0.14285714285714285;2;0.02666666666666667
net.objecthunter.exp4j.ExpressionValidateTest.testValidateNumber();13;1;1;12;0.2727272727272727;2;0.011235955056179775
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoAndThreeArgumentsAndMultipleOperator();52;1;8;7;0.1590909090909091;8;0.0449438202247191
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoArgumentsAndOperator();38;1;5;4;0.09090909090909091;5;0.028089887640449437
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoArguments();27;1;3;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder1();17;1;4;10;0.7142857142857143;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testValidationDocExample();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder16();21;1;6;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder17();21;1;6;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder18();21;1;6;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder2();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder19();21;1;6;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction1();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction2();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction3();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction4();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction5();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction6();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testFunction7();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();19;1;5;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();17;1;4;0;0;0;0
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();17;1;4;0;0;0;0
