Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionTest.testExpression1();35,2,3,4,5,3,4,5,3,4,6,12,13,14,16,17,18,19,3,32,34,36;22;1;3;15;15;0.35714285714285715;1;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,6,12,13,14,16,17,18,19,3,4,5,3,4,5,3,4,6,12,13,14,16,17,18,19,3,4,6,12,13,14,16,17,18,19,3,32,34,36;58;1;8;3;18;0.42857142857142855;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,6,12,13,14,16,17,18,19,3,32,34,36;42;1;5;0;18;0.42857142857142855;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,5,3,4,6,12,13,14,16,17,18,19,3,32,34,36;32;1;4;0;18;0.42857142857142855;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,6,12,13,14,16,17,18,19,3,32,34,36;32;1;4;0;18;0.42857142857142855;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,6,12,13,14,16,20,21,22,3,4,6,12,13,14,16,20,21,22,3,32,34,36;29;1;3;0;15;0.35714285714285715;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35,2,3,4,5,3,4,6,12,13,14,16,20,21,22,3,32,34,36;19;1;2;0;15;0.35714285714285715;0;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testClearVariables();35,2,3,4,6,7,8,9,11,3,4,6,7,8,9,11,3,4,6,12,13,14,16,17,18,19,3,32,34,36;30;1;3;4;18;0.42857142857142855;1;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testClearVariables();35,2,3,4,6,7,8,9,10,36;10;0;0;2;9;0.21428571428571427;1;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionValidateTest.testValidateNumber();32,2,3,9,10,11,12,13,26,10,29,31,33;13;1;1;12;12;0.2727272727272727;2;2;0.011235955056179775
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoAndThreeArgumentsAndMultipleOperator();32,2,3,9,10,11,12,13,26,10,11,12,13,26,10,11,12,13,26,10,11,12,13,26,10,11,12,13,26,10,11,12,13,26,10,11,12,13,26,10,11,14,15,16,18,19,22,26,10,29,31,33;52;1;8;7;19;0.4318181818181818;8;9;0.05056179775280899
